Year|Rank|Song Title|Artist
2016|21|Heathens|Twenty One Pilots
2016|22|Pillowtalk|Zayn
2016|23|Stitches|Shawn Mendes
2016|24|Hotline Bling|Drake
2016|25|Cold Water|Major Lazer Featuring Justin Bieber & MO
2016|26|Send My Love (To Your New Lover)|Adele
2016|27|Roses|The Chainsmokers Featuring Rozes
2016|28|Treat You Better|Shawn Mendes
2016|29|Too Good|Drake Featuring Rihanna
2016|30|Low Life|Future Featuring The Weeknd
2016|31|What Do You Mean?|Justin Bieber
2016|32|The Hills|The Weeknd
2016|33|Just Like Fire|P!nk
2016|34|Broccoli|D.R.A.M. Featuring Lil Yachty
2016|35|Don't|Bryson Tiller
2016|36|Dangerous Woman|Ariana Grande
2016|37|Jumpman|Drake & Future
2016|38|I Hate U I Love U|gnash Featuring Olivia O'Brien
2016|39|Here|Alessia Cara
2016|40|Same Old Love|Selena Gomez
2016|41|Controlla|Drake
2016|42|Like I'm Gonna Lose You|Meghan Trainor Featuring John Legend
2016|43|One Call Away|Charlie Puth
2016|44|Let It Go|James Bay
2016|45|No|Meghan Trainor
2016|46|Never Forget You|Zara Larsson & MNEK
2016|47|Let Me Love You|DJ Snake Featuring Justin Bieber
2016|48|Don't Mind|Kent Jones
2016|49|H.O.L.Y.|Florida Georgia Line
2016|50|We Don't Talk Anymore|Charlie Puth Featuring Selena Gomez
2016|51|Into You|Ariana Grande
2016|52|Gold|Kiiara
2016|53|Exchange|Bryson Tiller
2016|54|679|Fetty Wap Featuring Remy Boyz
2016|55|Oui|Jeremih
2016|56|Hands To Myself|Selena Gomez
2016|57|2 Phones|Kevin Gates
2016|58|Starboy|The Weeknd Featuring Daft Punk
2016|59|For Free|DJ Khaled Featuring Drake
2016|60|Never Be Like You|Flume Featuring Kai
2016|61|In The Night|The Weeknd
2016|62|Me Too|Meghan Trainor
2016|63|Ex's & Oh's|Elle King
2016|64|Die A Happy Man|Thomas Rhett
2016|65|White Iverson|Post Malone
2016|66|Close|Nick Jonas Featuring Tove Lo
2016|67|Unsteady|X Ambassadors
2016|68|Sucker For Pain|Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
2016|69|Down In The DM|Yo Gotti Featuring Nicki Minaj
2016|70|Luv|Tory Lanez
2016|71|Sorry|Beyonce
2016|72|Can't Feel My Face|The Weeknd
2016|73|Hymn For The Weekend|Coldplay
2016|74|Say It|Tory Lanez
2016|75|Antidote|Travis Scott
2016|76|Lost Boy|Ruth B
2016|77|Side To Side|Ariana Grande Featuring Nicki Minaj
2016|78|Sit Still, Look Pretty|Daya
2016|79|Wildest Dreams|Taylor Swift
2016|80|Middle|DJ Snake Featuring Bipolar Sunshine
2016|81|On My Mind|Ellie Goulding
2016|82|Pop Style|Drake Featuring The Throne
2016|83|When We Were Young|Adele
2016|84|Hide Away|Daya
2016|85|Lean On|Major Lazer X DJ Snake Featuring MO
2016|86|I Know What You Did Last Summer|Shawn Mendes & Camila Cabello
2016|87|Watch Me|Silento
2016|87|All the Way Up (featuring French Montana & Infared)|Fat Joe & Remy Ma
2016|88|Back To Sleep|Chris Brown
2016|89|No Limit|Usher Featuring Young Thug
2016|90|Cut It|O.T. Genasis Featuring Young Dolph
2016|91|Really Really|Kevin Gates
2016|92|All In My Head (Flex)|Fifth Harmony Featuring Fetty Wap
2016|93|Starving|Hailee Steinfeld & Grey Featuring Zedd
2016|94|Adventure Of A Lifetime|Coldplay
2016|95|Humble And Kind|Tim McGraw
2016|96|Wicked|Future
2016|97|Tiimmy Turner|Desiigner
2016|98|See You Again|Wiz Khalifa Featuring Charlie Puth
2016|99|Perfect|One Direction
2017|1|Shape Of You|Ed Sheeran
2017|2|Despacito|Luis Fonsi & Daddy Yankee Featuring Justin Bieber
2017|3|That's What I Like|Bruno Mars
2017|4|Humble.|Kendrick Lamar
2017|5|Something Just Like This|The Chainsmokers & Coldplay
2017|6|Bad And Boujee|Migos Featuring Lil Uzi Vert
2017|7|Closer|The Chainsmokers Featuring Halsey
2017|8|Body Like A Back Road|Sam Hunt
2017|9|Believer|Imagine Dragons
2017|10|Congratulations|Post Malone Featuring Quavo
2017|11|Say You Won't Let Go|James Arthur
2017|12|I'm The One|DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
2017|13|XO TOUR Llif3|Lil Uzi Vert
2017|14|Mask Off|Future
2017|15|Unforgettable|French Montana Featuring Swae Lee
2017|16|24K Magic|Bruno Mars
2017|17|Stay|Zedd & Alessia Cara
2017|18|Wild Thoughts|DJ Khaled Featuring Rihanna & Bryson Tiller
2017|19|Black Beatles|Rae Sremmurd Featuring Gucci Mane
2017|20|Starboy|The Weeknd Featuring Daft Punk
2017|21|Location|Khalid
2017|22|Attention|Charlie Puth
2017|23|There's Nothing Holdin' Me Back|Shawn Mendes
2017|24|Bodak Yellow (Money Moves)|Cardi B
2017|25|Redbone|Childish Gambino
2017|26|I Don't Wanna Live Forever (Fifty Shades Darker)|Zayn / Taylor Swift
2017|27|It Ain't Me|Kygo x Selena Gomez
2017|28|iSpy|KYLE Featuring Lil Yachty
2017|29|Issues|Julia Michaels
2017|30|Scars To Your Beautiful|Alessia Cara
2017|31|1-800-273-8255|Logic Featuring Alessia Cara & Khalid
2017|32|Slow Hands|Niall Horan
2017|33|Love On The Brain|Rihanna
2017|34|I Feel It Coming|The Weeknd Featuring Daft Punk
2017|35|Bounce Back|Big Sean
2017|36|Strip That Down|Liam Payne Featuring Quavo
2017|37|Fake Love|Drake
2017|38|Don't Wanna Know|Maroon 5 Featuring Kendrick Lamar
2017|39|Look What You Made Me Do|Taylor Swift
2017|40|Castle On The Hill|Ed Sheeran
2017|41|Bad Things|Machine Gun Kelly x Camila Cabello
2017|42|Paris|The Chainsmokers
2017|43|Side To Side|Ariana Grande Featuring Nicki Minaj
2017|44|Rockabye|Clean Bandit Featuring Sean Paul & Anne-Marie
2017|45|Feel It Still|Portugal. The Man
2017|46|Let Me Love You|DJ Snake Featuring Justin Bieber
2017|47|Sorry Not Sorry|Demi Lovato
2017|48|Bank Account|21 Savage
2017|49|Can't Stop The Feeling!|Justin Timberlake
2017|50|Mi Gente|J Balvin & Willy William Featuring Beyonce
2017|51|Thunder|Imagine Dragons
2017|52|T-Shirt|Migos
2017|53|Rake It Up|Yo Gotti Featuring Nicki Minaj
2017|54|Mercy|Shawn Mendes
2017|55|Tunnel Vision|Kodak Black
2017|56|Rockstar|Post Malone Featuring 21 Savage
2017|57|In Case You Didn't Know|Brett Young
2017|58|Heathens|Twenty One Pilots
2017|59|Now Or Never|Halsey
2017|60|Caroline|Amine
2017|61|Rolex|Ayo & Teo
2017|62|DNA.|Kendrick Lamar
2017|63|Juju On That Beat (TZ Anthem)|Zay Hilfigerrr & Zayion McCall
2017|64|Swang|Rae Sremmurd
2017|65|Passionfruit|Drake
2017|66|Loyalty.|Kendrick Lamar Featuring Rihanna
2017|67|Praying|Kesha
2017|68|Goosebumps|Travis Scott
2017|69|Cold|Maroon 5 Featuring Future
2017|70|Broccoli|D.R.A.M. Featuring Lil Yachty
2017|71|Slide|Calvin Harris Featuring Frank Ocean & Migos
2017|72|What Ifs|Kane Brown Featuring Lauren Alaina
2017|73|Chained To The Rhythm|Katy Perry Featuring Skip Marley
2017|74|Feels|Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean
2017|75|All Time Low|Jon Bellion
2017|76|Hurricane|Luke Combs
2017|77|Too Good At Goodbyes|Sam Smith
2017|78|Young Dumb & Broke|Khalid
2017|79|Magnolia|Playboi Carti
2017|80|Love Galore|SZA Featuring Travis Scott
2017|81|Drowning|A Boogie Wit da Hoodie Featuring Kodak Black
2017|82|Starving|Hailee Steinfeld & Grey Featuring Zedd
2017|83|Both|Gucci Mane Featuring Drake
2017|84|What About Us|P!nk
2017|85|Swalla|Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
2017|86|Slippery|Migos Featuring Gucci Mane
2017|87|Sign Of The Times|Harry Styles
2017|88|Water Under The Bridge|Adele
2017|89|Malibu|Miley Cyrus
2017|90|Down|Marian Hill
2017|91|No Promises|Cheat Codes Featuring Demi Lovato
2017|92|Treat You Better|Shawn Mendes
2017|93|I Get The Bag|Gucci Mane Featuring Migos
2017|94|Small Town Boy|Dustin Lynch
2017|95|Everyday We Lit|YFN Lucci Featuring PnB Rock
2017|96|Havana|Camila Cabello Featuring Young Thug
2017|97|What Lovers Do|Maroon 5 Featuring SZA
2017|98|Do Re Mi|blackbear
2017|99|Look At Me!|XXXTENTACION
2017|100|The Fighter|Keith Urban Featuring Carrie Underwood
2018|1|God's Plan|Drake
2018|2|Perfect|Ed Sheeran
2018|3|Meant To Be|Bebe Rexha & Florida Georgia Line
2018|4|Havana|Camila Cabello Featuring Young Thug
2018|5|Rockstar|Post Malone Featuring 21 Savage
2018|6|Psycho|Post Malone Featuring Ty Dolla $ign
2018|7|I Like It|Cardi B, Bad Bunny & J Balvin
2018|8|The Middle|Zedd, Maren Morris & Grey
2018|9|In My Feelings|Drake
2018|10|Girls Like You|Maroon 5 Featuring Cardi B
2018|11|Nice For What|Drake
2018|12|Lucid Dreams|Juice WRLD
2018|13|Better Now|Post Malone
2018|14|Finesse|Bruno Mars & Cardi B
2018|15|Boo'd Up|Ella Mai
2018|16|New Rules|Dua Lipa
2018|17|Sad!|XXXTENTACION
2018|18|Never Be The Same|Camila Cabello
2018|19|Love Lies|Khalid & Normani
2018|20|No Tears Left To Cry|Ariana Grande
2018|21|Mine|Bazzi
2018|22|Thunder|Imagine Dragons
2018|23|Look Alive|BlocBoy JB Featuring Drake
2018|24|Delicate|Taylor Swift
2018|25|Yes Indeed|Lil Baby & Drake
2018|26|Friends|Marshmello & Anne-Marie
2018|27|Bad At Love|Halsey
2018|28|Taste|Tyga Featuring Offset
2018|29|Let You Down|NF
2018|30|No Limit|G-Eazy Featuring A$AP Rocky & Cardi B
2018|31|FEFE|6ix9ine Featuring Nicki Minaj & Murda Beatz
2018|32|Tequila|Dan + Shay
2018|33|Feel It Still|Portugal. The Man
2018|34|MotorSport|Migos, Nicki Minaj & Cardi B
2018|35|I Like Me Better|Lauv
2018|36|Youngblood|5 Seconds Of Summer
2018|37|Whatever It Takes|Imagine Dragons
2018|38|Ric Flair Drip|Offset & Metro Boomin
2018|39|I Fall Apart|Post Malone
2018|40|Pray For Me|The Weeknd & Kendrick Lamar
2018|41|Back To You|Selena Gomez
2018|42|Sicko Mode|Travis Scott
2018|43|Walk It Talk It|Migos Featuring Drake
2018|44|Gucci Gang|Lil Pump
2018|45|Him & I|G-Eazy & Halsey
2018|46|In My Blood|Shawn Mendes
2018|47|All The Stars|Kendrick Lamar & SZA
2018|48|Stir Fry|Migos
2018|49|Too Good At Goodbyes|Sam Smith
2018|50|Love.|Kendrick Lamar Featuring Zacari
2018|51|This Is America|Childish Gambino
2018|52|Nonstop|Drake
2018|53|Heaven|Kane Brown
2018|54|Bodak Yellow (Money Moves)|Cardi B
2018|55|Freaky Friday|Lil Dicky Featuring Chris Brown
2018|56|Gummo|6ix9ine
2018|57|Plug Walk|Rich The Kid
2018|58|Wait|Maroon 5
2018|59|Be Careful|Cardi B
2018|60|Wolves|Selena Gomez X Marshmello
2018|61|Bartier Cardi|Cardi B Featuring 21 Savage
2018|62|God Is A Woman|Ariana Grande
2018|63|Big Bank|YG Featuring 2 Chainz, Big Sean & Nicki Minaj
2018|64|Sorry Not Sorry|Demi Lovato
2018|65|How Long|Charlie Puth
2018|66|Lights Down Low|MAX Featuring gnash
2018|67|Young Dumb & Broke|Khalid
2018|68|One Kiss|Calvin Harris & Dua Lipa
2018|69|Natural|Imagine Dragons
2018|70|You Make It Easy|Jason Aldean
2018|71|Shape Of You|Ed Sheeran
2018|72|I Get The Bag|Gucci Mane Featuring Migos
2018|73|No Brainer|DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo
2018|74|Plain Jane|A$AP Ferg Featuring Nicki Minaj
2018|75|Sky Walker|Miguel Featuring Travis Scott
2018|76|Marry Me|Thomas Rhett
2018|77|Eastside|benny blanco, Halsey & Khalid
2018|78|Call Out My Name|The Weeknd
2018|79|King's Dead|Jay Rock, Kendrick Lamar, Future & James Blake
2018|80|Happier|Marshmello & Bastille
2018|81|Te Bote|Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny
2018|82|Simple|Florida Georgia Line
2018|83|Lemon|N*E*R*D & Rihanna
2018|84|1-800-273-8255|Logic Featuring Alessia Cara & Khalid
2018|85|Say Something|Justin Timberlake Featuring Chris Stapleton
2018|86|I'm Upset|Drake
2018|87|Get Along|Kenny Chesney
2018|88|Moonlight|XXXTENTACION
2018|89|What Lovers Do|Maroon 5 Featuring SZA
2018|90|X|Nicky Jam x J Balvin
2018|91|Outside Today|YoungBoy Never Broke Again
2018|92|Trip|Ella Mai
2018|93|Dura|Daddy Yankee
2018|94|Changes|XXXTENTACION
2018|95|Mercy|Brett Young
2018|96|One Number Away|Luke Combs
2018|97|Powerglide|Rae Sremmurd & Juicy J
2018|98|IDGAF|Dua Lipa
2018|99|Mi Gente|J Balvin & Willy William Featuring Beyonce
2018|100|Believer|Imagine Dragons
2019|1|Old Town Road|Lil Nas X Featuring Billy Ray Cyrus
2019|2|Sunflower (Spider-Man: Into The Spider-Verse)|Post Malone & Swae Lee
2019|3|Without Me|Halsey
2019|4|Bad Guy|Billie Eilish
2019|5|Wow.|Post Malone
2019|6|Happier|Marshmello & Bastille
2019|7|7 Rings|Ariana Grande
2019|8|Talk|Khalid
2019|9|Sicko Mode|Travis Scott
2019|10|Sucker|Jonas Brothers
2019|11|High Hopes|Panic! At The Disco
2019|12|Thank U, Next|Ariana Grande
2019|13|Truth Hurts|Lizzo
2019|14|Dancing With A Stranger|Sam Smith & Normani
2019|15|Senorita|Shawn Mendes & Camila Cabello
2019|16|I Don't Care|Ed Sheeran & Justin Bieber
2019|17|Eastside|benny blanco, Halsey & Khalid
2019|18|Going Bad|Meek Mill Featuring Drake
2019|19|Shallow|Lady Gaga & Bradley Cooper
2019|20|Better|Khalid
2019|21|No Guidance|Chris Brown Featuring Drake
2019|22|Girls Like You|Maroon 5 Featuring Cardi B
2019|23|Sweet But Psycho|Ava Max
2019|24|Suge|DaBaby
2019|25|Middle Child|J. Cole
2019|26|Drip Too Hard|Lil Baby & Gunna
2019|27|Someone You Loved|Lewis Capaldi
2019|28|Ran$om|Lil Tecca
2019|29|If I Can't Have You|Shawn Mendes
2019|30|Goodbyes|Post Malone Featuring Young Thug
2019|31|ZEZE|Kodak Black Featuring Travis Scott & Offset
2019|32|Better Now|Post Malone
2019|33|Youngblood|5 Seconds Of Summer
2019|34|Money In The Grave|Drake Featuring Rick Ross
2019|35|Speechless|Dan + Shay
2019|36|Break Up With Your Girlfriend, I'm Bored|Ariana Grande
2019|37|Please Me|Cardi B & Bruno Mars
2019|38|Money|Cardi B
2019|39|You Need To Calm Down|Taylor Swift
2019|40|Panini|Lil Nas X
2019|41|Look Back At It|A Boogie Wit da Hoodie
2019|42|A Lot|21 Savage
2019|43|ME!|Taylor Swift Featuring Brendon Urie
2019|44|MIA|Bad Bunny Featuring Drake
2019|45|Pop Out|Polo G Featuring Lil Tjay
2019|46|Beautiful Crazy|Luke Combs
2019|47|Thotiana|Blueface
2019|48|Lucid Dreams|Juice WRLD
2019|49|Mo Bamba|Sheck Wes
2019|50|Beautiful People|Ed Sheeran Featuring Khalid
2019|51|Wake Up In The Sky|Gucci Mane X Bruno Mars X Kodak Black
2019|52|Whiskey Glasses|Morgan Wallen
2019|53|God's Country|Blake Shelton
2019|54|Be Alright|Dean Lewis
2019|55|Pure Water|Mustard & Migos
2019|56|The Git Up|Blanco Brown
2019|57|Taki Taki|DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
2019|58|Close To Me|Ellie Goulding X Diplo Featuring Swae Lee
2019|59|Envy Me|Calboy
2019|60|You Say|Lauren Daigle
2019|61|Hey Look Ma, I Made It|Panic! At The Disco
2019|62|Circles|Post Malone
2019|63|Beer Never Broke My Heart|Luke Combs
2019|64|The London|Young Thug, J. Cole & Travis Scott
2019|65|Con Calma|Daddy Yankee & Katy Perry Featuring Snow
2019|66|Murder On My Mind|YNW Melly
2019|67|When The Party's Over|Billie Eilish
2019|68|Act Up|City Girls
2019|69|I Like It|Cardi B, Bad Bunny & J Balvin
2019|70|Trampoline|SHAED
2019|71|Leave Me Alone|Flipp Dinero
2019|72|Breathin|Ariana Grande
2019|73|Bury A Friend|Billie Eilish
2019|74|Close Friends|Lil Baby
2019|75|Baby Shark|Pinkfong
2019|76|My Type|Saweetie
2019|77|Worth It|YK Osiris
2019|78|Only Human|Jonas Brothers
2019|79|Knockin' Boots|Luke Bryan
2019|80|Trip|Ella Mai
2019|81|Rumor|Lee Brice
2019|82|Swervin|A Boogie Wit da Hoodie Featuring 6ix9ine
2019|83|How Do You Sleep?|Sam Smith
2019|84|Baby|Lil Baby & DaBaby
2019|85|Look What God Gave Her|Thomas Rhett
2019|86|Good As You|Kane Brown
2019|87|Clout|Offset Featuring Cardi B
2019|88|Love Lies|Khalid & Normani
2019|89|One Thing Right|Marshmello & Kane Brown
2019|90|Cash Shit|Megan Thee Stallion Featuring DaBaby
2019|91|Tequila|Dan + Shay
2019|92|Shotta Flow|NLE Choppa
